method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,redundancy,diversity,boundary
header,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6715,0.3285,0.8
header,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6715,0.3285,0.8
header,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6612,0.3388,0.8
header,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6585,0.3415,0.6
header,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6514,0.3486,1.0
header,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6514,0.3486,1.0
header,dense,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0.6505,0.3495,0.8
header,hybrid,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0.6505,0.3495,0.8
header,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6731,0.3269,0.8
header,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6731,0.3269,0.8
header,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.602,0.398,0.8
header,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.149,1.0,1.0,0.6769,0.3231,0.8
header,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0.6609,0.3391,0.6
header,dense_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0.6701,0.3299,0.6
header,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0.6701,0.3299,0.6
semantic,dense,0,What does a bank do with deposits and loans?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0.7175,0.2825,0.8
semantic,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6006,0.3994,0.8
semantic,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6006,0.3994,0.8
semantic,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6903,0.3097,1.0
semantic,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6731,0.3269,0.8
semantic,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6731,0.3269,0.8
semantic,dense,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7175,0.2825,0.8
semantic,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7022,0.2978,0.8
semantic,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7018,0.2982,1.0
semantic,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7018,0.2982,1.0
semantic,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6864,0.3136,0.8
semantic,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,0.6332,0.3668,0.8
semantic,hybrid_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,0.6332,0.3668,0.8
semantic,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0.6395,0.3605,1.0
semantic,hybrid_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0.6395,0.3605,1.0
semantic,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7175,0.2825,0.8
semantic,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6903,0.3097,1.0
semantic,dense_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0.6743,0.3257,0.8
semantic,hybrid_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0.6743,0.3257,0.8
semantic,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7018,0.2982,1.0
semantic,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,hybrid,7,What components form bank capital?,1,0.5,0.4,0.4982,1.0,2.0,0.6449,0.3551,0.8
semantic,dense_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,dense,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6741,0.3259,1.0
semantic,hybrid,8,Where did modern banking evolve?,1,0.5,0.2,0.2961,1.0,2.0,0.6717,0.3283,1.0
semantic,dense_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6511,0.3489,1.0
semantic,hybrid_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6511,0.3489,1.0
semantic,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0.692,0.308,0.8
semantic,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0.692,0.308,0.8
semantic,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0.7175,0.2825,0.8
